Plant name,Scientific name,Family name,Plant Type,Retention,Light,Water Usage,Size,Color,Wildlife,Deer Resist,Maintenance,Soil Moisture,Drought Resist,Cold Resist,Heat Resist
"Shrubby boneset, White mistflower, White shrub mistflower, Havana snakeroot",Ageratina havanensis,Asteraceae (Aster Family),Shrub,Evergreen,Sun,NA,3-6  ft.,"White ,  Pink","Attracts  hummingbirds,  moths  &  butterflies",Moderate,Blooms  best  and  appears  bushier  if  severely  cut  back  each  winter.    Drought  tolerant.    Adapt  to  most  well-drained  soils.    May  be  transplanted  year-round  if  cut  back  by  one  third.,Dry,NA,NA,NA
"Indigo bush, False indigo bush, False indigo, Desert false indigo",Amorpha fruticosa,Fabaceae (Pea Family),Shrub,Deciduous,"Sun ,  Part  Shade",Low,6-12  ft.,"Orange ,  Blue ,  Purple ,  Violet","Nectar-bees,  Nectar-butterflies,  Nectar-insects,  Browse",High,NA,Moist,NA,yes,NA
"Huisache Daisy, Butterfly Daisy, Honey Daisy",Amblyolepis setigera,Asteraceae (Aster Family),Herb,NA,Part  Shade,Low,0-1  ft.,Yellow,"Nectar-Butterflies,  Nectar-Bees,  Nectar-insects Conspicuous Flowers:  yesFragrant Flowers:  yesAttracts:  Butterflies ",NA,NA,Dry,NA,NA,NA
"Big bluestem, Tall bluestem, Turkeyfoot",Andropogon gerardii,Poaceae (Grass Family),Grass/Grass-like,NA,"Sun ,  Part  Shade","Low ,  Medium","3-6  ft. ,  6-12  ft.","Red ,  Blue ,  Brown","Provides  cover  for  at  least  24  species  of  songbirds  and  nesting  sites  or  seeds  for  Grasshopper  Sparrow,  Henslows  Sparrow,  and  other  sparrows,  as  well  as  nesting  sites  for  Sedge  Wrens  and  Western  Meadowlarks",High,NA,Moist,"High Soil Description:  Acid  or  calcareous  sands,  loams,  and  clays. Conditions Comments:  Big  Bluestem  needs  more  moisture  to  look  its  best  than  does  Little  Bluestem  (Schizachyrium  scoparium),  but  it  is  quite  drought-tolerant  when  in  deep  prairie  soils  because  of  its  deep  roots.    If  used  in  a  garden,  too  much  water,  shade,  or  fertilizer  can  cause  it  to  get  top-heavy  and  fall  over.    It  is  moderately  tolerant  of  acidity  and  salinity  and  can  withstand  periodic  flooding  and  high  water  tables.",NA,NA
"Bushy bluestem, Brushy bluestem",Andropogon glomeratus,Poaceae (Grass Family),Grass/Grass-like,Deciduous,Sun,High,3-6  ft.,"White ,  Brown",Seeds  eaten  by  granivorous  birds  and  small  mammals,High,NA,Moist,NA,NA,yes
"Flame acanthus, Hummingbird bush, Wright's desert honeysuckle, Wright acanthus, Mexican flame,  Wright's Mexican flame",Anisacanthus quadrifidus var. wrightii,Acanthaceae (Acanthus Family),Shrub,Deciduous,"Sun ,  Part  Shade",Low,3-6  ft.,"Red ,  Orange",Flowers  attract  hummingbirds  and  butterflies,High,NA,Dry,High,yes,yes
"Eastern red columbine, Wild red columbine",Aquilegia canadensis,Ranunculaceae (Buttercup Family),Herb,Semi-evergreen,"Part  Shade ,  Shade","Low ,  Medium",1-3  ft.,"Red ,  Pink ,  Yellow","Blooms  attract  hummingbirds,  bees,  butterflies,  and  hawk  moths",Moderate,NA,Dry,High,yes,yes
"Antelope Horns, Spider milkweed, Green-flowered milkweed, Spider antelope-horns",Asclepias asperula,Asclepiadaceae (Milkweed Family),Herb,NA,Sun,Medium,1-3  ft.,"White ,  Green","This  plant  is  attractive  to  bees,  butterflies  and/or  birds",High,NA,Dry,NA,NA,NA
"Butterflyweed, Butterfly milkweed, Orange milkweed, Pleurisy root, Chigger flower",Asclepias tuberosa,Asclepiadaceae (Milkweed Family),Herb,Deciduous,Sun,Low,1-3  ft.,"Orange ,  Yellow",NA,High,NA,Dry,High Soil Description:  Prefers  well-drained  sandy  soils.  Tolerates  drought. Conditions Comments:  Butterfly  weed  has  an  interesting  and  unusual  flower  structure.  Plant  it  among  other  mid-sized  perennials.  Inevitably  butterfly  weed  will  get  aphids;  you  can  leave  them  for  ladybugs  to  eat  or  spray  the  insects  and  foliage  with  soapy  water.  Aphids  can  also  be  removed  by  blasting  the  plant  with  a  high  pressure  stream  of  water.,NA,NA
"Green milkweed, Green comet milkweed, Green antelopehorn milkweed, Green-flowered milkweed",Asclepias viridiflora,Asclepiadaceae (Milkweed Family),Herb,NA,Sun,Low,1-3  ft.,Green,NA,NA,NA,Dry,NA,NA,NA
"Green milkweed, Green antelopehorn",Asclepias viridis,Asclepiadaceae (Milkweed Family),Herb,Deciduous,Sun,Low,1-3  ft.,"White ,  Yellow ,  Green ,  Purple",NA,High,NA,Moist,NA,yes,"yesConditions Comments:  This  is  another  member  of  the  milkweed  family  that  certain  butterflies  love.    It  can  be  found  growing  in  rich  or  poor  soils  and  blooms  off  and  on  over  ther  growing  season  through  the  end  of  summer.    Has  a  spreading,  open  growth  form.    Requires  little  water  and  full  sun."
"Anacacho orchid tree, Anacacho bauhinia, Orchid tree, Texas plume",Bauhinia lunarioides,Fabaceae (Pea Family),Tree,Deciduous,Part  Shade,Low,6-12  ft.,"White ,  Pink",NA,High,"If  want  to  keep  only  a  single  trunk,  prune  judiciously  early  on.  Do  not  fertilize  much  if  at  all,  because  it  can  cause  weakness  and  lankiness  and  reduce  flowering.",Dry,NA,yes,yes
"Sideoats grama, Banderilla, Banderita, Navajita",Bouteloua curtipendula,Poaceae (Grass Family),Grass/Grass-like,NA,"Sun ,  Part  Shade",Medium,1-3  ft.,"Red ,  Orange ,  Yellow","Provides  bird  food,  nesting  material,  and  cover,  as  well  as  graze  for  mammals",High,NA,Dry,High,yes,yes
